bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,genre,genre_encoded
0.025,1.35226,0.913,0.76085,216.65914,0.0,6.0,0.142,-12.274,0,0.532,205.74,1.0,0.76085,102.176,4.0,0.783,hip hop,8
0.0,0.20435,0.0,0.20435,289.74975,0.0,10.0,0.633,-6.937,0,0.552,278.018,0.0,0.20435,122.038,1.0,0.952,hip hop,8
0.095,0.85086,1.0,0.43767,245.49832,0.206,0.0,0.954,-4.462,1,0.701,242.422,0.915,0.23108,146.856,4.0,0.845,world,19
0.288,1.27541,0.732,0.59965,196.96281,0.38,4.0,0.0,-8.227,1,0.0,193.91,0.495,0.09112,88.861,4.0,0.412,other,12
0.062,0.92704,0.857,0.43235,187.32363,0.359,11.0,0.095,-23.012,0,0.272,176.222,0.341,0.1844,126.241,4.0,0.0,country,3
0.258,0.49447,0.954,0.49447,160.83546,0.432,9.0,0.008,-13.389,1,0.321,155.15,0.828,0.05821,99.463,4.0,0.24,blues,0
0.118,0.66902,0.301,0.0945,243.43465,0.345,7.0,0.768,-8.864,1,0.657,227.515,0.82,0.0945,216.557,7.0,1.0,latin,10
0.325,1.07582,0.649,0.38588,288.57424,0.346,5.0,0.577,-10.656,1,0.589,279.65,0.934,0.38588,87.784,4.0,1.0,latin,10
0.079,1.16763,0.577,0.18636,256.39138,0.0,9.0,0.59,-8.632,1,0.67,239.56,0.443,0.18636,122.174,4.0,0.302,folk,6
0.002,0.33922,0.478,0.33922,229.51138,3.233,9.0,0.457,-4.198,1,0.398,222.285,0.149,0.17961,187.807,4.0,0.381,rock,17
0.382,1.3681,0.924,0.44623,325.85098,0.0,1.0,0.649,-13.015,1,0.565,322.241,0.814,0.21576,130.007,4.0,1.0,electronic,4
0.356,1.47955,1.0,0.14881,260.51873,0.218,3.0,0.562,-6.857,1,0.64,249.255,0.217,0.14881,45.508,4.0,0.439,country,3
0.078,0.50048,0.509,0.21605,208.56118,0.0,8.0,0.623,-5.05,1,0.536,200.911,0.405,0.07598,210.032,4.0,0.0,metal,11
0.018,1.15355,0.607,0.28192,481.48853,0.25,0.0,0.624,-15.466,1,0.499,444.929,0.558,0.06401,137.51,4.0,0.274,r&b/soul,15
0.049,1.12314,0.0,0.40543,161.43628,2.165,7.0,0.089,-25.752,1,0.539,152.636,0.0,0.40543,91.889,4.0,0.255,rock,17
0.012,0.95792,0.615,0.20868,244.45342,4.18,9.0,0.393,-9.015,0,0.302,231.288,0.56,0.20868,160.017,4.0,0.615,hip hop,8
0.077,0.83132,1.0,0.04315,156.682,0.369,5.0,0.714,-12.839,1,0.7,151.679,0.954,0.04315,78.453,3.0,0.858,r&b/soul,15
0.061,0.69175,0.544,0.33572,167.26159,0.0,0.0,0.192,-9.698,1,0.26,158.563,0.284,0.15857,175.048,4.0,0.868,pop,13
0.091,0.49354,0.0,0.05908,95.86893,3.32,8.0,0.853,-11.026,1,0.678,93.205,0.223,0.05908,162.653,4.0,1.0,pop,13
0.068,0.89742,0.465,0.37378,282.43546,0.156,10.0,0.532,-14.041,0,0.617,278.082,0.663,0.19894,111.032,3.0,0.863,metal,11
0.25,1.3532,0.438,0.57935,177.68444,0.517,7.0,0.864,-16.554,1,0.913,170.672,1.0,0.19014,94.721,3.0,1.0,blues,0
0.073,2.17118,0.833,0.4106,201.32526,0.252,11.0,0.638,-10.012,1,0.611,182.288,0.0,0.19022,135.989,5.0,0.237,gospel,7
0.617,0.8042,0.617,0.8042,197.19791,0.0,0.0,0.343,-12.0,1,0.496,183.258,0.142,0.49484,111.537,1.0,0.0,other,12
0.121,1.10544,0.925,0.17773,176.97914,0.113,5.0,0.513,-4.771,1,0.476,168.35,0.565,0.17773,130.023,4.0,0.334,electronic,4
1.0,0.55951,1.0,0.55951,206.00118,0.177,3.0,0.569,-24.57,1,0.483,206.001,0.773,0.19891,72.071,1.0,0.0,latin,10
